Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-20956,Swann SWWHD-INTCAM-HD devices leave the PSK in logs after a factory reset. NOTE: all affected customers were migrated by 2020-08-31.,cpe:2.3:o:swann:swwhd-intcam-hd_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:swann:swwhd-intcam-hd:-:*:*:*:*:*:*:*,vendor_only,2019-08-08,5.5,3.0,CWE-532,Yes,High,Swann SWWHD-INTCAM-HD is a Swann consumer smart security camera; PSK left in logs after factory reset is in scope.,No,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14494,"Vivotek FD8136 devices allow Remote Command Injection, related to BusyBox and wget. NOTE: the vendor sent a clarification on 2019-09-17 explaining that, although this CVE was first populated in July 2019, it is a historical vulnerability that does not apply to any current or recent Vivotek hardware or firmware",cpe:2.3:o:vivotek:fd8136_firmware:0301a:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:fd8136:-:*:*:*:*:*:*:*,vendor_only,2019-07-10,9.8,3.0,CWE-78,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14495,"Vivotek FD8136 devices allow Remote Command Injection, aka ""another command injection vulnerability in our target device,"" a different issue than CVE-2018-14494. NOTE: The vendor has disputed this as a vulnerability and states that the issue does not cause a web server crash or have any other affect on it's performance",cpe:2.3:o:vivotek:fd8136_firmware:0301a:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:fd8136:-:*:*:*:*:*:*:*,vendor_only,2019-07-10,9.8,3.0,CWE-78,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14496,"Vivotek FD8136 devices allow remote memory corruption and remote code execution because of a stack-based buffer overflow, related to sprintf, vlocal_buff_4326, and set_getparam.cgi. NOTE: The vendor has disputed this as a vulnerability and states that the issue does not cause a web server crash or have any other affect on it's performance",cpe:2.3:o:vivotek:fd8136_firmware:0301a:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:fd8136:-:*:*:*:*:*:*:*,vendor_only,2019-07-10,9.8,3.0,CWE-787,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-20050,Mishandling of an empty string on the Jooan JA-Q1H Wi-Fi camera with firmware 21.0.0.91 allows remote attackers to cause a denial of service (crash and reboot) via the ONVIF GetStreamUri method and GetVideoEncoderConfigurationOptions method.,cpe:2.3:o:qacctv:jooan_ja-q1h_wi-fi_camera_firmware:21.0.0.91:*:*:*:*:*:*:*|cpe:2.3:h:qacctv:jooan_ja-q1h_wi-fi_camera:-:*:*:*:*:*:*:*,vendor_only,2018-12-10,7.5,3.0,,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-20051,"Mishandling of '>' on the Jooan JA-Q1H Wi-Fi camera with firmware 21.0.0.91 allows remote attackers to cause a denial of service (crash and reboot) via certain ONVIF methods such as CreateUsers, SetImagingSettings, GetStreamUri, and so on.",cpe:2.3:o:qacctv:jooan_ja-q1h_wi-fi_camera_firmware:21.0.0.91:*:*:*:*:*:*:*|cpe:2.3:h:qacctv:jooan_ja-q1h_wi-fi_camera:-:*:*:*:*:*:*:*,vendor_only,2018-12-10,7.5,3.0,CWE-20,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:No/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2018-17064,An issue was discovered on D-Link DIR-816 A2 1.10 B05 devices. An HTTP request parameter is used in command string construction within the handler function of the /goform/sylogapply route. This could lead to command injection via the syslogIp parameter after /goform/clearlog is invoked.,cpe:2.3:o:dlink:dir-816_a2_firmware:1.10_b05:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dir-816_a2:-:*:*:*:*:*:*:*,vendor_only,2018-09-15,9.8,3.0,CWE-78,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",Yes,High,,No,High,,No,This device is a router
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14769,VIVOTEK FD8177 devices before XXXXXX-VVTK-xx06a allow CSRF.,cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-09-05,8.8,3.0,CWE-352,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14770,"VIVOTEK FD8177 devices before XXXXXX-VVTK-xx06a allow remote attackers to execute arbitrary code (issue 1 of 2) via the ONVIF interface, (/onvif/device_service).",cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-09-05,8.8,3.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14771,VIVOTEK FD8177 devices before XXXXXX-VVTK-xx06a allow remote attackers to execute arbitrary code (issue 2 of 2) via eventscript.cgi.,cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-09-05,8.8,3.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14768,"Various VIVOTEK FD8*, FD9*, FE9*, IB8*, IB9*, IP9*, IZ9*, MS9*, SD9*, and other devices before XXXXXX-VVTK-xx06a allow remote attackers to execute arbitrary code.",cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-08-29,8.8,3.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2018-14923,A vulnerability in uniview EZPlayer 1.0.6 could allow an attacker to execute arbitrary code on a targeted system via video playback.,cpe:2.3:a:uniview:ezplayer:1.0.6:*:*:*:*:*:*:*,vendor_only,2018-08-03,7.8,3.0,CWE-20,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,No,High,,No,High,,Yes,
C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-11689,Web Viewer for Hanwha DVR 2.17 and Smart Viewer in Samsung Web Viewer for Samsung DVR are vulnerable to XSS via the /cgi-bin/webviewer_login_page data3 parameter. (The same Web Viewer codebase was transitioned from Samsung to Hanwha.),cpe:2.3:a:samsung:smartviewer:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-1642_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-1642:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-842_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-842:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-442_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-442:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-1641_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-1641:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-841_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-841:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-840_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-840:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-440_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-440:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:hrd-443_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:hrd-443:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:srd-1694u_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:srd-1694u:-:*:*:*:*:*:*:*,vendor_only,2018-06-14,6.1,3.1,CWE-79,No,High,"The affected product is the Hanwha/Samsung DVR Web Viewer for professional/commercial DVR surveillance recorders, not a consumer home camera.",Yes,High,,Yes,High,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-12258,"An issue was discovered on Momentum Axel 720P 5.1.8 devices. Custom Firmware Upgrade is possible via an SD Card. With physical access, an attacker can upgrade the firmware in under 60 seconds by inserting an SD card containing the firmware with name 'ezviz.dav' and rebooting.",cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*|cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:-:*:*:*:*:*:*:*,vendor_only,2018-06-12,6.8,3.0,,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Yes,Momentum does make cameras
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-10676,"CeNova, Night OWL, Novo, Pulnix, QSee, Securus, and TBK Vision DVR devices allow remote attackers to download a file and obtain sensitive credential information via a direct request for the download.rsp URI.",cpe:2.3:o:tbkvision:tbk-dvr4216_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:tbkvision:tbk-dvr4216:-:*:*:*:*:*:*:*|cpe:2.3:o:tbkvision:tbk-dvr4104_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:tbkvision:tbk-dvr4104:-:*:*:*:*:*:*:*,vendor_only,2018-05-02,9.8,3.0,,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,Yes,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-9995,"TBK DVR4104 and DVR4216 devices, as well as Novo, CeNova, QSee, Pulnix, XVR 5 in 1, Securus, Night OWL, DVR Login, HVR Login, and MDVR Login, which run re-branded versions of the original TBK DVR4104 and DVR4216 series, allow remote attackers to bypass authentication via a ""Cookie: uid=admin"" header, as demonstrated by a device.rsp?opt=user&cmd=list request that provides credentials within JSON data in a response.",cpe:2.3:o:tbkvision:tbk-dvr4216_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:tbkvision:tbk-dvr4216:-:*:*:*:*:*:*:*|cpe:2.3:o:tbkvision:tbk-dvr4104_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:tbkvision:tbk-dvr4104:-:*:*:*:*:*:*:*,vendor_only,2018-04-10,9.8,3.0,,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,Yes,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:No/High  X:Yes/High  G:No/Low,judgments not unanimous,CVE-2018-9156,"An issue was discovered on AXIS P1354 (IP camera) Firmware version 5.90.1.1 devices. The upload web page doesn't verify the file type, and an attacker can upload a webshell by making a fileUpload.shtml request for a custom .shtml file, which is interpreted by the Apache HTTP Server mod_include module with ""<!--#exec cmd="" support. The file needs to include a specific string to meet the internal system architecture. After the webshell upload, an attacker can use the webshell to perform remote code execution such as running a system command (ls, ping, cat /etc/passwd, etc.). NOTE: the vendor reportedly indicates that this is an intended feature or functionality",cpe:2.3:o:axis:p1354_firmware:5.90.1.1:*:*:*:*:*:*:*|cpe:2.3:h:axis:p1354:-:*:*:*:*:*:*:*,vendor_only,2018-04-01,7.5,3.0,CWE-434,No,High,AXIS P1354 is a professional/commercial network camera (and the vendor classifies the behavior as intended functionality).,Yes,High,,No,Low,"Axis Communications primarily produces professional/enterprise-grade network cameras for commercial security, rather than consumer home IoT devices.",No,
C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-9157,"An issue was discovered on AXIS M1033-W (IP camera) Firmware version 5.40.5.1 devices. The upload web page doesn't verify the file type, and an attacker can upload a webshell by making a fileUpload.shtml request for a custom .shtml file, which is interpreted by the Apache HTTP Server mod_include module with ""<!--#exec cmd="" support. The file needs to include a specific string to meet the internal system architecture. After the webshell upload, an attacker can use the webshell to perform remote code execution such as running a system command (ls, ping, cat /etc/passwd, etc.). NOTE: the vendor reportedly indicates that this is an intended feature or functionality",cpe:2.3:o:axis:m1033-w_firmware:5.40.5.1:*:*:*:*:*:*:*|cpe:2.3:h:axis:m1033-w:-:*:*:*:*:*:*:*,vendor_only,2018-04-01,7.5,3.0,CWE-434,No,High,"AXIS M1033-W is a professional/commercial AXIS network camera, not a consumer home device.",Yes,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6294,Unsecured way of firmware update in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,9.8,3.0,CWE-287,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6295,Unencrypted way of remote control and communications in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,9.8,3.0,CWE-319,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6297,Buffer overflow in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,9.8,3.0,CWE-119,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6299,Authentication bypass in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,9.8,3.0,CWE-287,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6300,Remote password change in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,9.8,3.0,,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6302,Denial of service by blocking of new camera registration on the cloud server in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,7.5,3.0,,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,No,High,,Yes,High,,No,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-7698,"An issue was discovered in D-Link mydlink+ 3.8.5 build 259 for DCS-933L 1.05.04 and DCS-934L 1.05.04 devices. The mydlink+ app sends the username and password for connected D-Link cameras (such as DCS-933L and DCS-934L) unencrypted from the app to the camera, allowing attackers to obtain these credentials and gain control of the camera including the ability to view the camera's stream and make changes without the user's knowledge.",cpe:2.3:a:d-link:mydlink\+:3.8.5:*:*:*:*:*:*:*,vendor_only,2018-03-05,8.1,3.0,CWE-522,Yes,High,The mydlink+ companion app controls consumer D-Link mydlink home cameras (DCS-933L/934L); cleartext credential exposure that grants control of a home camera is in scope.,No,High,,Yes,High,,Yes,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-25353,Foscam Video Management System 1.1.4.9 contains a denial of service vulnerability in the username input field that allows attackers to crash the application. Attackers can overwrite the username with a 520-byte buffer of repeated 'A' characters to trigger an application crash during device login.,,vendor_only,2026-02-18,7.5,3.1,CWE-120,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Maybe,Software for foscam cameras
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-25290,Smartliving SmartLAN/G/SI <=6.x contains an unauthenticated server-side request forgery vulnerability in the GetImage functionality through the 'host' parameter. Attackers can exploit the onvif.cgi endpoint by specifying external domains to bypass firewalls and perform network enumeration through arbitrary HTTP requests.,,vendor_only,2026-01-08,5.3,3.1,CWE-918,Maybe,Low,No CPE present and the description references a camera but does not establish home vs commercial deployment.,No,High,,Yes,High,,No,ethernet interface for burglar alarm systems
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-5043,"An exploitable denial-of-service vulnerability exists in the Weave daemon of the Nest Cam IQ Indoor, version 4620002. A set of TCP connections can cause unrestricted resource allocation, resulting in a denial of service. An attacker can connect multiple times to trigger this vulnerability.",cpe:2.3:o:google:nest_cam_iq_indoor_firmware:4620002:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_iq_indoor:-:*:*:*:*:*:*:*,vendor_only,2019-10-31,7.5,3.1,CWE-400|CWE-770,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,Yes,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2019-10256,An authentication bypass vulnerability in VIVOTEK IPCam versions prior to 0x13a was found.,cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2019-09-10,9.8,3.1,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-11064,A vulnerability of remote credential disclosure was discovered in Advan VD-1 firmware versions up to 230. An attacker can export system configuration which is not encrypted to get the administrator’s account and password in plain text via cgibin/ExportSettings.cgi?Export=1 without any authentication.,cpe:2.3:o:androvideo:vd_1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:androvideo:vd_1:-:*:*:*:*:*:*:*|cpe:2.3:o:geovision:gv-vr360_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geovision:gv-vr360:-:*:*:*:*:*:*:*|cpe:2.3:o:geovision:gv-vd8700_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geovision:gv-vd8700:-:*:*:*:*:*:*:*,vendor_only,2019-08-29,9.8,3.1,CWE-200|CWE-287,No,High,"Advan VD-1 and the co-listed GeoVision GV-VR360 / GV-VD8700 are commercial surveillance devices, not consumer home cameras.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-13407,A XSS found in Advan VD-1 firmware versions up to 230. VD-1 responses a path error message when a requested resource was not found in page cgibin/ssi.cgi. It leads to a reflected XSS because the error message does not escape properly.,cpe:2.3:o:androvideo:vd_1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:androvideo:vd_1:-:*:*:*:*:*:*:*|cpe:2.3:o:geovision:gv-vr360_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geovision:gv-vr360:-:*:*:*:*:*:*:*|cpe:2.3:o:geovision:gv-vd8700_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geovision:gv-vd8700:-:*:*:*:*:*:*:*,vendor_only,2019-08-29,6.1,3.0,CWE-79,No,High,"Advan VD-1 and co-listed GeoVision GV-VR360 / GV-VD8700 are commercial surveillance devices, not consumer home cameras.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-13408,"A relative path traversal vulnerability found in Advan VD-1 firmware versions up to 230. It allows attackers to download arbitrary files via url cgibin/ExportSettings.cgi?Download=filepath, without any authentication.",cpe:2.3:o:androvideo:vd_1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:androvideo:vd_1:-:*:*:*:*:*:*:*|cpe:2.3:o:geovision:gv-vr360_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geovision:gv-vr360:-:*:*:*:*:*:*:*|cpe:2.3:o:geovision:gv-vd8700_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geovision:gv-vd8700:-:*:*:*:*:*:*:*,vendor_only,2019-08-29,7.5,3.1,CWE-23|CWE-22|CWE-862,No,High,"Advan VD-1 and co-listed GeoVision GV-VR360 / GV-VD8700 are commercial surveillance devices, not consumer home cameras.",No,High,,Yes,High,,No,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-5037,"An exploitable denial-of-service vulnerability exists in the Weave certificate loading functionality of Nest Cam IQ Indoor camera, version 4620002. A specially crafted weave packet can cause an integer overflow and an out-of-bounds read on unmapped memory to occur, resulting in a denial of service. An attacker can send a specially crafted packet to trigger.",cpe:2.3:o:google:nest_cam_iq_indoor_firmware:4620002:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_iq_indoor:-:*:*:*:*:*:*:*,vendor_only,2019-08-20,7.5,3.1,CWE-190|CWE-125,Yes,High,Google Nest Cam IQ Indoor is a consumer home camera; the Weave-packet DoS is in scope.,No,High,,Yes,High,,Yes,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-5040,"An exploitable information disclosure vulnerability exists in the Weave MessageLayer parsing of Openweave-core version 4.0.2 and Nest Cam IQ Indoor version 4620002. A specially crafted weave packet can cause an integer overflow to occur, resulting in PacketBuffer data reuse. An attacker can send a packet to trigger this vulnerability.",cpe:2.3:a:openweave:openweave-core:4.0.2:*:*:*:*:*:*:*|cpe:2.3:o:google:nest_cam_iq_indoor_firmware:4620002:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_iq_indoor:-:*:*:*:*:*:*:*,vendor_only,2019-08-20,7.5,3.1,CWE-190,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,Yes,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-5034,"An exploitable information disclosure vulnerability exists in the Weave Legacy Pairing functionality of Nest Cam IQ Indoor version 4620002. A set of specially crafted weave packets can cause an out of bounds read, resulting in information disclosure. An attacker can send packets to trigger this vulnerability.",cpe:2.3:o:google:nest_cam_iq_indoor_firmware:4620002:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_iq_indoor:-:*:*:*:*:*:*:*,vendor_only,2019-08-20,5.3,3.1,CWE-125,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,Yes,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-5035,"An exploitable information disclosure vulnerability exists in the Weave PASE pairing functionality of the Nest Cam IQ Indoor, version 4620002. A set of specially crafted weave packets can brute force a pairing code, resulting in greater Weave access and potentially full device control. An attacker can send specially crafted packets to trigger this vulnerability.",cpe:2.3:o:google:nest_cam_iq_indoor_firmware:4620002:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_iq:-:*:*:*:*:*:*:*,vendor_only,2019-08-20,9.0,3.1,CWE-307|CWE-327,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,Yes,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-5036,"An exploitable denial-of-service vulnerability exists in the Weave error reporting functionality of the Nest Cam IQ Indoor, version 4620002. A specially crafted weave packets can cause an arbitrary Weave Exchange Session to close, resulting in a denial of service. An attacker can send a specially crafted packet to trigger this vulnerability.",cpe:2.3:o:google:nest_cam_iq_indoor_firmware:4620002:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_iq_indoor:-:*:*:*:*:*:*:*,vendor_only,2019-08-20,7.5,3.1,CWE-284|CWE-346,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,Yes,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-12502,"There is a lack of CSRF countermeasures on MOBOTIX S14 MX-V4.2.1.61 cameras, as demonstrated by adding an admin account via the /admin/access URI.",cpe:2.3:o:mobotix:s14_firmware:mx-v4.2.1.61:*:*:*:*:*:*:*|cpe:2.3:h:mobotix:s14:-:*:*:*:*:*:*:*,vendor_only,2019-05-31,8.8,3.0,CWE-352,No,High,"MOBOTIX S14 is a professional/commercial surveillance camera, not a consumer home device.",No,High,,Yes,High,,No,
