slug,label,facet,cardinality,allowed_values,kappa_band,facet_kappa,phase_a_verdict,modal_share,category_cves,scope_note,prefill_value,prefill_source,Verdict 1,Source 1,Category-Wide 1,Notes 1,coverage_verdict,resource_required,cited_vendors,cited_share,corpus_vendors,Verdict 2,Source 2,Category-Wide 2,Notes 2
doorbell,video doorbell,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",VendorPatched,author-prior,VendorPatched|InstallerPatched,,,"DEVIATES from the prefill (VendorPatched alone). If the category is installer-channel and half of it is manually flashed, InstallerPatched has to be in the set - the prefill was internally inconsistent with its own firmwareUpdateModel and consumerAvailability values.",,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,VendorPatched|InstallerPatched,Akuvox device upgrade guide: https://knowledge.akuvox.com/docs/upgrade-devices,,Verified both cloud-platform deployment and administrator/installer upload through the local web interface.
doorbell,video doorbell,topology,multi,DirectIP|HubMediated|MeshLeaf|unsure,,,UNMEASURED,,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",DirectIP,author-prior,DirectIP,,,Keeps the prefill; judged.,,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,DirectIP,Akuvox door-phone configuration guide: https://knowledge.akuvox.com/docs/door-phone-configuration,,Verified direct IP addressing and browser access on the local network.
doorlock,smart lock,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,summary-defensible,1.000,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",false,phase-a-cve-weighted,false,,,Agrees with Phase A (1.000). Judged. Camera-bearing locks exist but are a recent minority.,,,,,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,false,,,No camera or always-listening microphone is typical of the in-scope lock/garage-opener products checked. The negative claim is intentionally unsourced.
doorlock,smart lock,supportLifetime,single,DeclaredLifetime|UndeclaredLifetime|unsure,stays-Estimated,-0.3115,summary-defensible,1.000,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",UndeclaredLifetime,phase-a-cve-weighted,DeclaredLifetime,"UK PSTI Regs 2023 Sch.1 req.3 + Sch.2 - defined support period must be published, https://www.legislation.gov.uk/uksi/2023/1007/schedule/1/made ; Yale UK PSTI statements of compliance, https://yalehome.co.uk/psti-documentation ; Aqara global security and compliance statements (defined support period at least 2 years from launch), https://www.aqara.com/en/security-certifications/",yes,"Reverses the author-prior/Phase-A UndeclaredLifetime. Phase A sampled the devices in the CVE corpus, which are overwhelmingly pre-2024; the facet definition pins assessment to the 2026-08-05 snapshot vintage and warns regulation is moving this value. Since 29 Apr 2024 UK PSTI has compelled publication of a defined support period for every consumer connectable product sold in the UK, and this category's main vendors are complying. Jurisdiction limit: PSTI binds UK-market sales, not the category worldwide.",regulation,,aqara|assaabloy|yale,0.028,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,DeclaredLifetime,Yale PSTI documentation: https://yalehome.co.uk/psti-documentation; Aqara security certifications: https://www.aqara.com/en/security-certifications/; UK PSTI Regulations 2023: https://www.legislation.gov.uk/uksi/2023/1007/pdfs/uksi_20231007_en.pdf,,"Verified published support periods for connected locks and the class-binding UK requirement. Category-wide claim withdrawn: the UK PSTI regime binds consumer connectable products placed on the UK market — a jurisdiction, not this device class — so it cannot promote the cell to Documented. The cited vendor holds 0% of this category's confirmed-Yes CVEs; the corpus is dominated by tinxy 11%, for which no support declaration was found. Source retained as unrepresentative evidence."
doorlock,smart lock,alsoDeployedIn,multi,Commercial|Industrial|Prosumer|Residential|none|unsure,,,UNMEASURED,,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",none,author-prior,none,,,Keeps the prefill; judged. Commercial access control is excluded by the scope note and is a genuinely different product.,,,,,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,none,,,Enterprise access control is explicitly excluded; the checked Yale/Tinxy/Genie products are household products. The negative market claim is intentionally unsourced.
doorlock,smart lock,credentialModel,multi,AccountBound|CertificateBound|DefaultPassword|ForcedCredentialSetup|NoCredential|unsure,,,UNMEASURED,,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",AccountBound|NoCredential,author-prior,AccountBound|NoCredential,,,"Keeps the prefill; judged. Note Matter locks add CertificateBound (per-device attestation is mandatory for certification, https://docs.silabs.com/matter/latest/matter-overview-guides/matter-commissioning) - left out because Matter locks are still a small share of this category's installed base, but this is the cell where that will change first.",,,,,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,AccountBound|ForcedCredentialSetup,Genie Aladdin Connect product page: https://www.geniecompany.com/aladdin-connect-by-genie; Yale first entry-code setup: https://support.shopyalehome.com/en_us/yale-code-entry-codes-Sy0x1_Q8R,,"Corrected NoCredential: Genie requires an account, while Yale requires the owner to create a first entry/master code before normal lock use."
doorlock,smart lock,pairingModel,multi,AccountLinked|BleProvisioned|MeshJoin|QrPaired|SoftApPaired|WpsPaired|unsure,,,UNMEASURED,,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",AccountLinked|BleProvisioned|MeshJoin,author-prior,BleProvisioned|MeshJoin|QrPaired,,,"DEVIATES from the prefill (AccountLinked|BleProvisioned|MeshJoin). Dropped AccountLinked - the lock is enrolled to a phone or a hub, and the account link is downstream of that. Added QrPaired for the Matter generation (Aqara U200/U400 and Yale Matter locks commission by setup code, https://us.aqara.com/products/smart-lock-u200).",,,,,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,BleProvisioned|MeshJoin|SoftApPaired,Silicon Labs smart-home door-lock design paper: https://www.silabs.com/whitepapers/how-to-design-a-smart-home-door-lock; Genie Aladdin Connect FAQ: https://www.geniecompany.com/aladdin-connect-faq-s,,"Corrected QR pairing to SoftAP: Silicon Labs documents BLE/Zigbee lock radios, while Genie's included garage controller exposes a temporary setup network."
doorlock,smart lock,topology,multi,DirectIP|HubMediated|MeshLeaf|unsure,,,UNMEASURED,,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",HubMediated|MeshLeaf,author-prior,HubMediated|MeshLeaf,,,"Keeps the prefill; judged. Correctly excludes DirectIP - a battery lock is never routable on its own, which is one of the few strongly discriminating topology answers on the sheet.",,,,,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,DirectIP|HubMediated|MeshLeaf,Genie Aladdin Connect product page: https://www.geniecompany.com/aladdin-connect-by-genie; Silicon Labs smart-home door-lock design paper: https://www.silabs.com/whitepapers/how-to-design-a-smart-home-door-lock,,"Added DirectIP because in-scope Wi-Fi garage controllers connect directly, alongside hub-mediated Zigbee/BLE lock products."
garden,smart garden,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",false,author-prior,false,,,Author-prior kept; judged. Camera-guided robot mowers are emerging but are not the category.,,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,true,ECOVACS GOAT O600 RTK product page: https://www.ecovacs.com/uk/shop/goat-robotic-lawn-mower/goat-o600-rtk,,"Corrected column 1 using corpus-leading ECOVACS: GOAT models document an onboard camera, making AV capture common in this corpus despite irrigation-controller exceptions."
garden,smart garden,firmwareUpdateModel,single,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,stays-Estimated,0.3882,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",OtaAutomatic,author-prior,OtaAutomatic,,,"Author-prior kept; judged, no source found.",,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,OtaUserInitiated,ECOVACS GOAT G1 installation guide: https://site-static.ecovacs.com/upload/dk/file/support/2023/02/15/101827_2787-GOATG1-Installation.pdf,,"Corrected OtaAutomatic: ECOVACS describes OTA delivery 'with your confirmation,' which matches the rubric's user-initiated value."
garden,smart garden,supportLifetime,single,DeclaredLifetime|UndeclaredLifetime|unsure,stays-Estimated,-0.3115,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",UndeclaredLifetime,author-prior,DeclaredLifetime,"UK PSTI Regs 2023 Sch.1 req.3 + Sch.2 - defined support period must be published, https://www.legislation.gov.uk/uksi/2023/1007/schedule/1/made ; Husqvarna UK PSTI Statements of Compliance covering Automower robotic mowers (doc ref PSTI-ROB-Con-B-24-1U), https://www.husqvarna.com/",yes,"Reverses the author-prior/Phase-A UndeclaredLifetime. Phase A sampled the devices in the CVE corpus, which are overwhelmingly pre-2024; the facet definition pins assessment to the 2026-08-05 snapshot vintage and warns regulation is moving this value. Since 29 Apr 2024 UK PSTI has compelled publication of a defined support period for every consumer connectable product sold in the UK, and this category's main vendors are complying. Jurisdiction limit: PSTI binds UK-market sales, not the category worldwide. Weaker than most: the Husqvarna statement was located through a PDF index rather than a stable vendor landing page, and I found no published period for the irrigation half (Rachio, RainMachine).",regulation,,husqvarna|ring,0.000,ecovacs 42% | rainmachine 32% | yarbo 16%,DeclaredLifetime,UK PSTI Regulations 2023: https://www.legislation.gov.uk/uksi/2023/1007/pdfs/uksi_20231007_en.pdf,,"Verified the class-binding UK requirement to declare a security-update support period for consumer connectable garden products. Category-wide claim withdrawn: the UK PSTI regime binds consumer connectable products placed on the UK market — a jurisdiction, not this device class — so it cannot promote the cell to Documented. The cited vendor holds 0% of this category's confirmed-Yes CVEs; the corpus is dominated by ecovacs 42%, for which no support declaration was found. Source retained as unrepresentative evidence."
garden,smart garden,alsoDeployedIn,multi,Commercial|Industrial|Prosumer|Residential|none|unsure,,,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",Commercial,author-prior,Commercial,,,Author-prior kept; judged. The same controllers appear on small commercial landscaping.,,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,Commercial,,,"The same connected mower/irrigation product class is used in commercial grounds maintenance, but I did not find a leading-vendor page that cleanly binds the same models to that market; Source 2 is therefore blank."
garden,smart garden,credentialModel,multi,AccountBound|CertificateBound|DefaultPassword|ForcedCredentialSetup|NoCredential|unsure,,,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",AccountBound|DefaultPassword,author-prior,AccountBound|DefaultPassword,,,Author-prior kept; judged.,,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,AccountBound|DefaultPassword,ECOVACS GOAT manual: https://site-static.ecovacs.com/upload/file/support/2026/01/27/015213_3856%24GOATA1600LiDARPROA3000LiDARPROInstructionManual-EU.pdf; RainMachine Wi-Fi requirements: https://support.rainmachine.com/hc/en-us/articles/227848727-Wi-Fi-Requirements,,Verified account-bound ECOVACS administration and RainMachine's documented factory SSH credential; the default-password value mainly describes the legacy irrigation-controller subfamily.
garden,smart garden,pairingModel,multi,AccountLinked|BleProvisioned|MeshJoin|QrPaired|SoftApPaired|WpsPaired|unsure,,,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",AccountLinked|BleProvisioned|WpsPaired,author-prior,AccountLinked|SoftApPaired,,,DEVIATES from the author-prior (AccountLinked|BleProvisioned|WpsPaired). Dropped WPS; kept the two routes I can defend.,,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,AccountLinked|BleProvisioned|QrPaired|SoftApPaired,ECOVACS GOAT manual: https://site-static.ecovacs.com/upload/file/support/2026/01/27/015213_3856%24GOATA1600LiDARPROA3000LiDARPROInstructionManual-EU.pdf; RainMachine quick-start guide: https://support.rainmachine.com/hc/en-us/article_attachments/360017842193,,"Expanded the verdict to cover both corpus-leading subfamilies: ECOVACS uses account/app, BLE and QR setup; RainMachine uses a temporary Wi-Fi network."
garden,smart garden,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",VendorPatched,author-prior,VendorPatched|UserPatched,,,DEVIATES from the author-prior (VendorPatched alone): a device with a local web admin and no forced update path leaves the owner in the loop.,,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,UserPatched,ECOVACS GOAT G1 installation guide: https://site-static.ecovacs.com/upload/dk/file/support/2023/02/15/101827_2787-GOATG1-Installation.pdf,,Corrected the mixed verdict because the leading ECOVACS documentation requires owner confirmation for the OTA update; I found no equally strong leading-vendor evidence for silent vendor installation.
garden,smart garden,topology,multi,DirectIP|HubMediated|MeshLeaf|unsure,,,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",DirectIP,author-prior,DirectIP,,,Author-prior kept; judged.,,,,,ecovacs 42% | rainmachine 32% | yarbo 16%,DirectIP,ECOVACS GOAT manual: https://site-static.ecovacs.com/upload/file/support/2026/01/27/015213_3856%24GOATA1600LiDARPROA3000LiDARPROInstructionManual-EU.pdf; RainMachine local-network access guide: https://support.rainmachine.com/hc/en-us/articles/7116888557719-Local-Network-Access,,Verified direct Wi-Fi/IP connectivity for both leading robot-mower and irrigation-controller subfamilies.
home-power,home energy system,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",false,author-prior,false,,,Judged. Category is UNMEASURED by Phase A; no camera or mic in an inverter or meter.,,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,false,,,Checked Enphase and Victron system documentation; cameras and always-listening microphones are not typical. This negative claim is intentionally unsourced.
home-power,home energy system,firmwareUpdateModel,single,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,stays-Estimated,0.3882,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",OtaAutomatic,author-prior,OtaAutomatic,,,"Author-prior kept; judged, no source found. Inverters and gateways with a monitoring link generally self-update, but I could not open a vendor page that says so for this category.",,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,OtaAutomatic,Enphase installer updates: https://enphase.com/en-au/installers/updates,,"Verified remote firmware deployment for corpus-leading Enphase systems; installer-mediated and manual paths also exist, but OtaAutomatic is the single-value category summary."
home-power,home energy system,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",true,author-prior,true,"Enphase IQ Gateway / Envoy local web interface, https://support.enphase.com/s/article/How-do-I-access-the-Envoy-S-or-IQ-Envoy-s-local-web-interface",,Author-prior confirmed with vendor documentation. The local installer web UI is where this category's CVEs live.,representative,,enphase,0.289,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,true,Enphase local web-interface guide: https://support.enphase.com/s/article/How-do-I-access-the-Envoy-S-or-IQ-Envoy-s-local-web-interface,,Verified that the Enphase gateway exposes a local web interface.
home-power,home energy system,supportLifetime,single,DeclaredLifetime|UndeclaredLifetime|unsure,stays-Estimated,-0.3115,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",UndeclaredLifetime,author-prior,DeclaredLifetime,"UK PSTI Regs 2023 Sch.1 req.3 + Sch.2 - defined support period must be published, https://www.legislation.gov.uk/uksi/2023/1007/schedule/1/made ; Victron Energy UK PSTI Statement of Compliance for Communication Centres (defined support period 5 years, to 31/12/2028), https://www.victronenergy.com/upload/documents/UK-PSTI-statement-compliance-Communication-Centres-240424.pdf",yes,"Reverses the author-prior/Phase-A UndeclaredLifetime. Phase A sampled the devices in the CVE corpus, which are overwhelmingly pre-2024; the facet definition pins assessment to the 2026-08-05 snapshot vintage and warns regulation is moving this value. Since 29 Apr 2024 UK PSTI has compelled publication of a defined support period for every consumer connectable product sold in the UK, and this category's main vendors are complying. Jurisdiction limit: PSTI binds UK-market sales, not the category worldwide. Note the category was UNMEASURED by Phase A, so this replaces an author-prior with nothing measured behind it.",regulation,,victron|victronenergy,0.022,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,DeclaredLifetime,Victron UK PSTI statement: https://www.victronenergy.com/upload/documents/UK-PSTI-statement-compliance-Communication-Centres-240424.pdf,,"Verified a dated support period for Victron communication centres. Category-Wide 2 is blank because the scope also includes smart meters, which are not uniformly bound by the cited declaration/regime. Category-wide claim withdrawn: the UK PSTI regime binds consumer connectable products placed on the UK market — a jurisdiction, not this device class — so it cannot promote the cell to Documented. The cited vendor holds 0% of this category's confirmed-Yes CVEs; the corpus is dominated by enphase 29%, for which no support declaration was found. Source retained as unrepresentative evidence."
home-power,home energy system,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",CloudPortalAdmin|LocalWebAdmin,author-prior,CloudPortalAdmin|LocalWebAdmin,https://support.enphase.com/s/article/How-do-I-access-the-Envoy-S-or-IQ-Envoy-s-local-web-interface,,"Author-prior kept, and one of the few categories where CloudPortalAdmin genuinely belongs: VRM and Enlighten are real administration portals, not just dashboards.",representative,,enphase,0.289,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,CloudPortalAdmin|LocalWebAdmin,Enphase local web-interface guide: https://support.enphase.com/s/article/How-do-I-access-the-Envoy-S-or-IQ-Envoy-s-local-web-interface; Victron GX access manual: https://www.victronenergy.com/media/pg/Cerbo_GX/en/accessing-the-gx-device.html,,Verified local gateway browser access and remote portal administration across Enphase/Victron systems.
home-power,home energy system,alsoDeployedIn,multi,Commercial|Industrial|Prosumer|Residential|none|unsure,,,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",Commercial|Industrial,author-prior,Commercial|Industrial,,,Author-prior kept; judged. The same inverter families scale into C&I installations.,,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,Commercial|Industrial,Enphase IQ Gateway Commercial data sheet: https://enphase.com/en-ph/download/commercial-iq-gateway-data-sheet-0,,Verified commercial and industrial deployment through Enphase's commercial three-phase gateway documentation; utility-only systems remain excluded by scope.
home-power,home energy system,credentialModel,multi,AccountBound|CertificateBound|DefaultPassword|ForcedCredentialSetup|NoCredential|unsure,,,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",DefaultPassword,author-prior,DefaultPassword|AccountBound,,,"DEVIATES slightly from the author-prior (DefaultPassword alone): the vendor portal account is now the normal owner-facing credential, alongside the installer-level device password.",,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,AccountBound|ForcedCredentialSetup,Victron GX access manual: https://www.victronenergy.com/media/pg/Cerbo_GX/en/accessing-the-gx-device.html,,Corrected DefaultPassword to ForcedCredentialSetup: current portal/local-security documentation uses accounts and an owner-configured secured profile rather than a universal factory admin password.
home-power,home energy system,pairingModel,multi,AccountLinked|BleProvisioned|MeshJoin|QrPaired|SoftApPaired|WpsPaired|unsure,,,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",AccountLinked|WpsPaired,author-prior,AccountLinked,,,DEVIATES from the author-prior (AccountLinked|WpsPaired). These are commissioned by an installer on a wired/Wi-Fi link and registered to a portal; WPS is not part of that flow.,,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,AccountLinked,Enphase local web-interface guide: https://support.enphase.com/s/article/How-do-I-access-the-Envoy-S-or-IQ-Envoy-s-local-web-interface; Victron GX access manual: https://www.victronenergy.com/media/pg/Cerbo_GX/en/accessing-the-gx-device.html,,Retained the closest allowed value for portal-linked commissioning. Ethernet/IP discovery and installer commissioning are common here but pairingModel has no value for them.
home-power,home energy system,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",InstallerPatched|VendorPatched,author-prior,InstallerPatched|VendorPatched,,,Author-prior kept; judged.,,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,InstallerPatched|VendorPatched,Enphase installer updates: https://enphase.com/en-au/installers/updates; Victron GX firmware-update manual: https://www.victronenergy.com/media/pg/Cerbo_GX/en/firmware-updates.html,,Verified remote vendor deployment and installer/administrator-initiated maintenance paths.
home-power,home energy system,topology,multi,DirectIP|HubMediated|MeshLeaf|unsure,,,UNMEASURED,,45,"IN: residential solar inverters, home batteries, and smart meters (SMA, Victron Venus, Enphase, Tesla Powerwall). OUT: utility-scale/commercial PV and grid equipment.",DirectIP,author-prior,DirectIP,,,Author-prior kept; judged.,,,,,enphase 29% | sma 27% | sinapsitech 9% | outbackpower 7% | fronius 4% | growatt 4%,DirectIP,Enphase local web-interface guide: https://support.enphase.com/s/article/How-do-I-access-the-Envoy-S-or-IQ-Envoy-s-local-web-interface; Victron GX access manual: https://www.victronenergy.com/media/pg/Cerbo_GX/en/accessing-the-gx-device.html,,Verified direct LAN addressing and browser/portal connectivity for gateway devices.
lighting,smart lighting,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,summary-defensible,1.000,33,"IN: consumer smart bulbs, light/dimmer/wall switches, and LED controllers (Hue, LIFX). OUT: phone 'Smart Switch' data-migration software, network switches, and apps/plugins that merely reference lighting.",false,phase-a-cve-weighted,false,,,Agrees with Phase A (1.000). Judged.,,,,,philips 35% | mystrom 15% | tp-link 15% | nanoleaf 9% | govee 6% | ikea 6%,false,,,Checked Philips Hue product and setup documentation; AV capture is not typical of lighting endpoints. This negative claim is intentionally unsourced.
lighting,smart lighting,firmwareUpdateModel,single,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,stays-Estimated,0.3882,summary-defensible,0.939,33,"IN: consumer smart bulbs, light/dimmer/wall switches, and LED controllers (Hue, LIFX). OUT: phone 'Smart Switch' data-migration software, network switches, and apps/plugins that merely reference lighting.",OtaUserInitiated,phase-a-cve-weighted,OtaUserInitiated,,,Agrees with Phase A (0.939). Judged: Zigbee OTA images are staged by the hub and applied when the owner accepts in the app.,,,,,philips 35% | mystrom 15% | tp-link 15% | nanoleaf 9% | govee 6% | ikea 6%,OtaUserInitiated,Philips Hue security advisory: https://www.philips-hue.com/en-us/support/security-advisory,,Verified that owners can check for updates and configure automatic updates; retained the measured user-initiated value because automation is an owner-selected option.
lighting,smart lighting,supportLifetime,single,DeclaredLifetime|UndeclaredLifetime|unsure,stays-Estimated,-0.3115,summary-defensible,1.000,33,"IN: consumer smart bulbs, light/dimmer/wall switches, and LED controllers (Hue, LIFX). OUT: phone 'Smart Switch' data-migration software, network switches, and apps/plugins that merely reference lighting.",UndeclaredLifetime,phase-a-cve-weighted,DeclaredLifetime,"UK PSTI Regs 2023 Sch.1 req.3 + Sch.2 - defined support period must be published, https://www.legislation.gov.uk/uksi/2023/1007/schedule/1/made ; Philips Hue End of Support Policy - minimum 5 years from date of purchase for Hue products, 3 years for the Hue Bridge, https://www.philips-hue.com/en-gb/support/legal/end-of-support-policy",yes,"Reverses the author-prior/Phase-A UndeclaredLifetime. Phase A sampled the devices in the CVE corpus, which are overwhelmingly pre-2024; the facet definition pins assessment to the 2026-08-05 snapshot vintage and warns regulation is moving this value. Since 29 Apr 2024 UK PSTI has compelled publication of a defined support period for every consumer connectable product sold in the UK, and this category's main vendors are complying. Jurisdiction limit: PSTI binds UK-market sales, not the category worldwide. Signify's policy predates PSTI, so this category had a published period even before the regulation - the only one where I can say that.",regulation,,philips|signify,0.382,philips 35% | mystrom 15% | tp-link 15% | nanoleaf 9% | govee 6% | ikea 6%,DeclaredLifetime,Philips Hue end-of-support policy: https://www.philips-hue.com/en-gb/support/legal/end-of-support-policy; UK PSTI Regulations 2023: https://www.legislation.gov.uk/uksi/2023/1007/pdfs/uksi_20231007_en.pdf,,"Verified Philips Hue's published minimum support periods and the class-binding UK declaration requirement. Category-wide claim withdrawn: the UK PSTI regime binds consumer connectable products placed on the UK market — a jurisdiction, not this device class — so it cannot promote the cell to Documented."
lighting,smart lighting,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,33,"IN: consumer smart bulbs, light/dimmer/wall switches, and LED controllers (Hue, LIFX). OUT: phone 'Smart Switch' data-migration software, network switches, and apps/plugins that merely reference lighting.",AppOnlyAdmin,author-prior,AppOnlyAdmin,,,"Keeps the prefill. Consistent with Phase A having EXCLUDED hasWebAdminUI for this category as NOT-USABLE (0.545) - the bulbs have no admin surface at all, the LED controllers do, and that split is exactly why the single-valued facet was withheld.",,,,,philips 35% | mystrom 15% | tp-link 15% | nanoleaf 9% | govee 6% | ikea 6%,AppOnlyAdmin,Philips Hue apps page: https://www.philips-hue.com/en-us/explore-hue/apps,,Verified that ordinary configuration and control are provided through the Hue app; I found no persistent local browser admin UI.
lighting,smart lighting,alsoDeployedIn,multi,Commercial|Industrial|Prosumer|Residential|none|unsure,,,UNMEASURED,,33,"IN: consumer smart bulbs, light/dimmer/wall switches, and LED controllers (Hue, LIFX). OUT: phone 'Smart Switch' data-migration software, network switches, and apps/plugins that merely reference lighting.",none,author-prior,none,,,Keeps the prefill; judged.,,,,,philips 35% | mystrom 15% | tp-link 15% | nanoleaf 9% | govee 6% | ikea 6%,none,,,"The scope is consumer lighting, and the checked Hue documentation is household-focused. This negative market claim is intentionally unsourced."
