Category,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Review Status,Needs Human Review,Review Reason,Final Judgment,Final Source,AI Judgment,AI Judgment Reasoning,AI Confidence
cameras,vendor_only,CVE-2017-20184,2023-05-04,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability in Carlo Gavazzi Powersoft up to version 2.1.1.1 allows an unauthenticated, remote attacker to download any file from the affected device.",7.5,3.1,CWE-22,cpe:2.3:a:gavazzionline:powersoft:*:*:*:*:*:*:*:*,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-18483,2019-08-07,ANNKE SP1 HD wireless camera 3.4.1.1604071109 devices allow XSS via a crafted SSID.,6.1,3.0,CWE-79,cpe:2.3:o:annke:sp1_firmware:3.4.1.160407110:*:*:*:*:*:*:*|cpe:2.3:h:annke:sp1:-:*:*:*:*:*:*:*,Yes,High,ANNKE SP1 HD is a consumer home Wi-Fi camera; XSS via a crafted SSID is in scope.,No,High,,Yes,High,,complete,Yes,judgments not unanimous,Yes,human,,,
cameras,vendor_only,CVE-2017-8226,2019-07-03,"Amcrest IPM-721S V2.420.AC00.16.R.20160909 devices have default credentials that are hardcoded in the firmware and can be extracted by anyone who reverses the firmware to identify them. If the firmware version V2.420.AC00.16.R 9/9/2016 is dissected using binwalk tool, one obtains a _user-x.squashfs.img.extracted archive which contains the filesystem set up on the device that many of the binaries in the /usr folder. The binary ""sonia"" is the one that has the vulnerable function that sets up the default credentials on the device. If one opens this binary in IDA-pro, one will notice that this follows a ARM little endian format. The function sub_3DB2FC in IDA pro is identified to be setting up the values at address 0x003DB5A6. The sub_5C057C then sets this value and adds it to the Configuration files in /mnt/mtd/Config/Account1 file.",9.8,3.0,CWE-798,cpe:2.3:o:amcrest:ipm-721s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amcrest:ipm-721s:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-8227,2019-07-03,"Amcrest IPM-721S V2.420.AC00.16.R.20160909 devices have a timeout policy to wait for 5 minutes in case 30 incorrect password attempts are detected using the Web and HTTP API interface provided by the device. However, if the same brute force attempt is performed using the ONVIF specification (which is supported by the same binary) then there is no account lockout or timeout executed. This can allow an attacker to circumvent the account protection mechanism and brute force the credentials. If the firmware version V2.420.AC00.16.R 9/9/2016 is dissected using binwalk tool, one obtains a _user-x.squashfs.img.extracted archive which contains the filesystem set up on the device that many of the binaries in the /usr folder. The binary ""sonia"" is the one that has the vulnerable function that performs the credential check in the binary for the ONVIF specification. If one opens this binary in IDA-pro one will notice that this follows a ARM little endian format. The function at address 00671618 in IDA pro is parses the WSSE security token header. The sub_ 603D8 then performs the authentication check and if it is incorrect passes to the function sub_59F4C which prints the value ""Sender not authorized.""",9.8,3.0,CWE-254,cpe:2.3:o:amcrest:ipm-721s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amcrest:ipm-721s:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-8229,2019-07-03,"Amcrest IPM-721S V2.420.AC00.16.R.20160909 devices allow an unauthenticated attacker to download the administrative credentials. If the firmware version V2.420.AC00.16.R 9/9/2016 is dissected using binwalk tool, one obtains a _user-x.squashfs.img.extracted archive which contains the filesystem set up on the device that many of the binaries in the /usr folder. The binary ""sonia"" is the one that has the vulnerable function that sets up the default credentials on the device. If one opens this binary in IDA-pro one will notice that this follows a ARM little endian format. The function sub_436D6 in IDA pro is identified to be setting up the configuration for the device. If one scrolls to the address 0x000437C2 then one can see that /current_config is being set as an ALIAS for /mnt/mtd/Config folder on the device. If one TELNETs into the device and navigates to /mnt/mtd/Config folder, one can observe that it contains various files such as Account1, Account2, SHAACcount1, etc. This means that if one navigates to http://[IPofcamera]/current_config/Sha1Account1 then one should be able to view the content of the files. The security researchers assumed that this was only possible only after authentication to the device. However, when unauthenticated access tests were performed for the same URL as provided above, it was observed that the device file could be downloaded without any authentication.",9.8,3.0,CWE-255,cpe:2.3:o:amcrest:ipm-721s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amcrest:ipm-721s:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-8230,2019-07-03,"On Amcrest IPM-721S V2.420.AC00.16.R.20160909 devices, the users on the device are divided into 2 groups ""admin"" and ""user"". However, as a part of security analysis it was identified that a low privileged user who belongs to the ""user"" group and who has access to login in to the web administrative interface of the device can add a new administrative user to the interface using HTTP APIs provided by the device and perform all the actions as an administrative user by using that account. If the firmware version V2.420.AC00.16.R 9/9/2016 is dissected using binwalk tool, one obtains a _user-x.squashfs.img.extracted archive which contains the filesystem set up on the device that many of the binaries in the /usr folder. The binary ""sonia"" is the one that has the vulnerable functions that performs the various action described in HTTP APIs. If one opens this binary in IDA-pro one will notice that this follows a ARM little endian format. The function at address 0x00429084 in IDA pro is the one that processes the HTTP API request for ""addUser"" action. If one traces the calls to this function, it can be clearly seen that the function sub_ 41F38C at address 0x0041F588 parses the call received from the browser and passes it to the ""addUser"" function without any authorization check.",8.8,3.0,CWE-264,cpe:2.3:o:amcrest:ipm-721s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amcrest:ipm-721s:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-7912,2019-04-08,"Hanwha Techwin SRN-4000, SRN-4000 firmware versions prior to SRN4000_v2.16_170401, A specially crafted http request and response could allow an attacker to gain access to the device management page with admin privileges without proper authentication.",9.8,3.0,CWE-284|CWE-287,cpe:2.3:o:hanwhasecurity:srn-4000_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:hanwhasecurity:srn-4000:-:*:*:*:*:*:*:*,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,No,Low,"Hanwha Techwin (now Hanwha Vision) SRN-4000 is primarily an enterprise/industrial network video recorder (NVR) or professional security system, not a consumer home IoT camera.",complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-2855,2018-09-19,"An exploitable buffer overflow vulnerability exists in the DDNS client used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. On devices with DDNS enabled, an attacker who is able to intercept HTTP connections will be able to fully compromise the device by creating a rogue HTTP server.",8.1,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2875,2018-09-19,An exploitable buffer overflow vulnerability exists in the Multi-Camera interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted request on port 10000 can cause a buffer overflow resulting in overwriting arbitrary data.,9.1,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2878,2018-09-19,An exploitable buffer overflow vulnerability exists in the web management interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted HTTP request can cause a buffer overflow resulting in overwriting arbitrary data. An attacker can simply send an HTTP request to the device to trigger this vulnerability.,7.5,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2879,2018-09-19,An exploitable buffer overflow vulnerability exists in the UPnP implementation used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted UPnP discovery response can cause a buffer overflow resulting in overwriting arbitrary data. An attacker needs to be in the same subnetwork and reply to a discovery message to trigger this vulnerability.,5.3,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2873,2018-09-19,An exploitable command injection vulnerability exists in the web management interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted HTTP request can allow for a user to inject arbitrary shell characters during the SoftAP configuration resulting in command injection. An attacker can simply send an HTTP request to the device to trigger this vulnerability.,7.2,3.1,CWE-78,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2876,2018-09-19,An exploitable buffer overflow vulnerability exists in the Multi-Camera interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted request on port 10000 can cause a buffer overflow resulting in overwriting arbitrary data.,7.5,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2877,2018-09-19,"A missing error check exists in the Multi-Camera interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted request on port 10001 could allow an attacker to reset the user accounts to factory defaults, without authentication.",9.8,3.1,CWE-755,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2874,2018-09-17,An information disclosure vulnerability exists in the Multi-Camera interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. A specially crafted request on port 10001 can allow for a user to retrieve sensitive information without authentication.,7.5,3.1,,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2854,2018-09-17,"An exploitable buffer overflow vulnerability exists in the DDNS client used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. On devices with DDNS enabled, an attacker who is able to intercept HTTP connections will be able to fully compromise the device by creating a rogue HTTP server.",8.1,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2856,2018-09-17,"An exploitable buffer overflow vulnerability exists in the DDNS client used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. On devices with DDNS enabled, an attacker who is able to intercept HTTP connections will be able to fully compromise the device by creating a rogue HTTP server.",8.1,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2857,2018-09-17,"An exploitable buffer overflow vulnerability exists in the DDNS client used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.43. On devices with DDNS enabled, an attacker who is able to intercept HTTP connections will be able to fully compromise the device by creating a rogue HTTP server.",8.1,3.1,CWE-120,cpe:2.3:o:foscam:c1_firmware:2.52.2.43:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-16159,2018-06-07,"caolilinode is a simple file server. caolilinode is vulnerable to a directory traversal issue, giving an attacker access to the filesystem by placing ""../"" in the url.",7.5,3.0,CWE-22,cpe:2.3:a:caolilinode_project:caolilinode:1.0.0:*:*:*:*:node.js:*:*,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12120,2018-05-14,"An exploitable command injection vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP POST can cause a privilege escalation, resulting in a root shell. An attacker can inject OS commands into the ip= parm in the ""/goform/net_WebPingGetValue"" URI to trigger this vulnerability.",8.8,3.1,CWE-78,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12121,2018-05-14,"An exploitable command injection vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP POST can cause a privilege escalation resulting in root shell. An attacker can inject OS commands into the rsakey\_name= parm in the ""/goform/WebRSAKEYGen"" uri to trigger this vulnerability.",8.8,3.1,CWE-78,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12123,2018-05-14,An exploitable clear text transmission of password vulnerability exists in the web server and telnet functionality of Moxa EDR-810 V4.1 build 17030317. An attacker can look at network traffic to get the admin password for the device. The attacker can then use the credentials to login as admin.,8.8,3.1,CWE-522,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12124,2018-05-14,An exploitable denial of service vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP URI can cause a null pointer dereference resulting in the web server crashing. An attacker can send a crafted URI to trigger this vulnerability.,6.5,3.1,CWE-20|CWE-476,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12125,2018-05-14,"An exploitable command injection vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP POST can cause a privilege escalation resulting in root shell. An attacker can inject OS commands into the CN= parm in the ""/goform/net_WebCSRGen"" uri to trigger this vulnerability.",8.8,3.1,CWE-78,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12126,2018-05-14,An exploitable cross-site request forgery vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP packet can cause cross-site request forgery. An attacker can create malicious HTML to trigger this vulnerability.,8.8,3.1,CWE-352,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12127,2018-05-14,A password storage vulnerability exists in the operating system functionality of Moxa EDR-810 V4.1 build 17030317. An attacker with shell access could extract passwords in clear text from the device.,4.4,3.1,CWE-522,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12128,2018-05-14,An exploitable information disclosure vulnerability exists in the Server Agent functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted TCP packet can cause information disclosure. An attacker can send a crafted TCP packet to trigger this vulnerability.,7.5,3.1,CWE-200,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12129,2018-05-14,An exploitable Weak Cryptography for Passwords vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. An attacker could intercept weakly encrypted passwords and could brute force them.,8.0,3.1,CWE-327,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14432,2018-05-14,"An exploitable command injection vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP POST can cause a privilege escalation resulting in root shell. An attacker can inject OS commands into the openvpnServer0_tmp= parameter in the ""/goform/net\_Web\_get_value"" uri to trigger this vulnerability.",8.8,3.1,CWE-78,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14433,2018-05-14,"An exploitable command injection vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP POST can cause a privilege escalation resulting in root shell. An attacker can inject OS commands into the remoteNetwork0= parameter in the ""/goform/net\_Web\_get_value"" uri to trigger this vulnerability.",8.8,3.1,CWE-78,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14434,2018-05-14,"An exploitable command injection vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP POST can cause a privilege escalation resulting in root shell. An attacker can inject OS commands into the remoteNetmask0= parameter in the ""/goform/net\_Web\_get_value"" uri to trigger this vulnerability.",8.8,3.1,CWE-78,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14435,2018-05-14,"An exploitable denial of service vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP URI can cause a null pointer dereference resulting in denial of service. An attacker can send a GET request to ""/MOXA\_CFG.ini"" without a cookie header to trigger this vulnerability.",7.5,3.1,CWE-476,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14436,2018-05-14,"An exploitable denial of service vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP URI can cause a null pointer dereference resulting in denial of service. An attacker can send a GET request to ""/MOXA\_CFG2.ini"" without a cookie header to trigger this vulnerability.",7.5,3.1,CWE-476,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14437,2018-05-14,"An exploitable denial of service vulnerability exists in the web server functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted HTTP URI can cause a null pointer dereference resulting in denial of service. An attacker can send a GET request to ""/MOXA\_LOG.ini"" without a cookie header to trigger this vulnerability.",7.5,3.1,CWE-476,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14438,2018-05-14,Exploitable denial of service vulnerabilities exists in the Service Agent functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted packet can cause a denial of service. An attacker can send a large packet to 4000/tcp to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14439,2018-05-14,Exploitable denial of service vulnerabilities exists in the Service Agent functionality of Moxa EDR-810 V4.1 build 17030317. A specially crafted packet can cause a denial of service. An attacker can send a large packet to 4001/tcp to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:moxa:edr-810_firmware:4.1:*:*:*:*:*:*:*|cpe:2.3:h:moxa:edr-810:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-2832,2018-04-24,An exploitable command injection vulnerability exists in the web management interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.37. A specially crafted HTTP request can allow for a user to inject arbitrary shell characters during a password change resulting in command injection. An attacker can simply send an HTTP request to the device to trigger this vulnerability.,7.2,3.1,CWE-77,cpe:2.3:o:foscam:c1_firmware:2.52.2.37:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-2833,2018-04-24,"An exploitable command injection vulnerability exists in the web management interface used by the Foscam C1 Indoor HD Camera running application firmware 2.52.2.37. A specially crafted HTTP request can allow for a user to inject arbitrary shell characters resulting in command injection during the boot process. To trigger this vulnerability, an attacker needs to send an HTTP request and reboot the device.",7.5,3.1,CWE-77,cpe:2.3:o:foscam:c1_firmware:2.52.2.37:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
cameras,vendor_only,CVE-2017-14459,2018-04-11,"An exploitable OS Command Injection vulnerability exists in the Telnet, SSH, and console login functionality of Moxa AWK-3131A Industrial IEEE 802.11a/b/g/n wireless AP/bridge/client in firmware versions 1.4 to 1.7 (current). An attacker can inject commands via the username parameter of several services (SSH, Telnet, console), resulting in remote, unauthenticated, root-level operating system command execution.",9.8,3.0,CWE-78,cpe:2.3:o:moxa:awk-3131a_firmware:1.4:*:*:*:*:*:*:*|cpe:2.3:o:moxa:awk-3131a_firmware:1.5:*:*:*:*:*:*:*|cpe:2.3:o:moxa:awk-3131a_firmware:1.6:*:*:*:*:*:*:*|cpe:2.3:o:moxa:awk-3131a_firmware:1.7:*:*:*:*:*:*:*|cpe:2.3:h:moxa:awk-3131a:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-1773,2018-01-31,"IBM DataPower Gateways 7.1, 7,2, 7.5, and 7.6 could allow an attacker using man-in-the-middle techniques to spoof DNS responses to perform DNS cache poisoning and redirect Internet traffic. IBM X-Force ID: 136817.",4.0,3.0,CWE-345,cpe:2.3:a:ibm:datapower_gateway:*:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-12729,2018-01-18,A SQL Injection issue was discovered in Moxa SoftCMS Live Viewer through 1.6. An improper neutralization of special elements used in an SQL command ('SQL Injection') vulnerability has been identified. Attackers can exploit this vulnerability to access SoftCMS without knowing the user's password.,9.8,3.0,CWE-89,cpe:2.3:a:moxa:softcms_lab_view:*:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-5170,2018-01-18,"An Uncontrolled Search Path Element issue was discovered in Moxa SoftNVR-IA Live Viewer, Version 3.30.3122 and prior versions. An uncontrolled search path element (DLL Hijacking) vulnerability has been identified. To exploit this vulnerability, an attacker could rename a malicious DLL to meet the criteria of the application, and the application would not verify that the DLL is correct. The attacker needs to have administrative access to the default install location in order to plant the insecure DLL. Once loaded by the application, the DLL could run malicious code at the privilege level of the application.",7.2,3.0,CWE-427,cpe:2.3:a:moxa:softnvr-ia_live_view:*:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-14030,2018-01-12,An issue was discovered in Moxa MXview v2.8 and prior. The unquoted service path escalation vulnerability could allow an authorized user with file access to escalate privileges by inserting arbitrary code into the unquoted service path.,7.8,3.0,CWE-428,cpe:2.3:a:moxa:mxview:*:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-9964,2018-01-02,"A Path Traversal issue was discovered in Schneider Electric Pelco VideoXpert Enterprise all versions prior to 2.1. By sniffing communications, an unauthorized person can execute a directory traversal attack resulting in authentication bypass or session hijack.",6.9,3.0,CWE-22,cpe:2.3:a:schneider-electric:pelco_videoxpert:*:*:*:*:enterprise:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-9965,2018-01-02,"An exposure of sensitive information vulnerability exists in Schneider Electric's Pelco VideoXpert Enterprise versions 2.0 and prior. Using a directory traversal attack, an unauthorized person can view web server files.",5.8,3.0,CWE-22,cpe:2.3:a:schneider-electric:pelco_videoxpert:*:*:*:*:enterprise:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-9966,2018-01-02,"A privilege escalation vulnerability exists in Schneider Electric's Pelco VideoXpert Enterprise versions 2.0 and prior. By replacing certain files, an unauthorized user can obtain system privileges and the inserted code would execute at an elevated privilege level.",7.1,3.0,,cpe:2.3:a:schneider-electric:pelco_videoxpert:*:*:*:*:enterprise:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
cameras,vendor_only,CVE-2017-16727,2017-12-22,"A Credentials Management issue was discovered in Moxa NPort W2150A versions prior to 1.11, and NPort W2250A versions prior to 1.11. The default password is empty on the device. An unauthorized user can access the device without a password. An unauthorized user has the ability to completely compromise the confidentiality and integrity of the wireless traffic.",9.1,3.0,CWE-255|CWE-521,cpe:2.3:o:moxa:nport_w2150a_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:moxa:nport_w2150a:-:*:*:*:*:*:*:*|cpe:2.3:o:moxa:nport_w2250a_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:moxa:nport_w2250a:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
