Category,Direction,Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2,Disagreement
cameras,vendor_only,C:Maybe/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2017-9765,"Integer overflow in the soap_get function in Genivia gSOAP 2.7.x and 2.8.x before 2.8.48, as used on Axis cameras and other devices, allows remote attackers to execute arbitrary code or cause a denial of service (stack-based buffer overflow and application crash) via a large XML document, aka Devil's Ivy. NOTE: the large document would be blocked by many common web-server configurations on general-purpose computers.",cpe:2.3:a:genivia:gsoap:2.7.0:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.1:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.2:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.3:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.4:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.5:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.6:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.7:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.8:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.9:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.10:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.11:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.12:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.13:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.14:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.15:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.16:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.7.17:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.0:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.1:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.2:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.3:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.4:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.5:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.6:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.7:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.8:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.9:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.10:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.11:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.12:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.13:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.14:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.15:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.16:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.17:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.18:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.19:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.20:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.21:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.22:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.23:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.24:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.25:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.26:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.27:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.28:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.29:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.30:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.31:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.32:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.33:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.34:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.35:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.36:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.37:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.38:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.39:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.40:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.41:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.42:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.43:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.44:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.45:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.46:*:*:*:*:*:*:*|cpe:2.3:a:genivia:gsoap:2.8.47:*:*:*:*:*:*:*,vendor_only,2017-07-20,8.1,3.0,CWE-190,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,Low,"The CVE affects gSOAP, a library used in Axis cameras. Axis produces both enterprise and home security cameras. While the library is general-purpose, the explicit mention of Axis cameras makes it plausible for home IoT, though it's often used in commercial settings.",Maybe,"Dozens of consumer-grade electronics vendors build their ONVIF camera discovery and local networking protocols using gSOAP, exposing standard smart home devices to the vulnerability.",No,,Partner=Maybe vs Suhani=No
cameras,vendor_only,C:Yes/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2018-7698,"An issue was discovered in D-Link mydlink+ 3.8.5 build 259 for DCS-933L 1.05.04 and DCS-934L 1.05.04 devices. The mydlink+ app sends the username and password for connected D-Link cameras (such as DCS-933L and DCS-934L) unencrypted from the app to the camera, allowing attackers to obtain these credentials and gain control of the camera including the ability to view the camera's stream and make changes without the user's knowledge.",cpe:2.3:a:d-link:mydlink\+:3.8.5:*:*:*:*:*:*:*,vendor_only,2018-03-05,8.1,3.0,CWE-522,Yes,High,The mydlink+ companion app controls consumer D-Link mydlink home cameras (DCS-933L/934L); cleartext credential exposure that grants control of a home camera is in scope.,Maybe,Low,"Description references security camera context, but the affected product type is unclear.",Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2018-6302,Denial of service by blocking of new camera registration on the cloud server in Hanwha Techwin Smartcams,cpe:2.3:o:hanwha-security:snh-v6410pn_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pn:-:*:*:*:*:*:*:*|cpe:2.3:o:hanwha-security:snh-v6410pnw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hanwha-security:snh-v6410pnw:-:*:*:*:*:*:*:*,vendor_only,2018-03-13,7.5,3.0,,No,High,Hanwha Techwin is primarily a professional surveillance brand and this one-line entry gives no residential context to confirm the SmartCam as a consumer home device.,Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2019-10256,An authentication bypass vulnerability in VIVOTEK IPCam versions prior to 0x13a was found.,cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2019-09-10,9.8,3.1,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2021-32572,"Speco Web Viewer through 2021-05-12 allows Directory Traversal via GET request for a URI with /.. at the beginning, as demonstrated by reading the /etc/passwd file.",cpe:2.3:a:specotech:web_viewer:*:*:*:*:*:*:*:*,vendor_only,2021-05-12,7.5,3.1,CWE-22,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,Low,Speco Technologies is primarily a consumer/small business security camera brand. A 'Web Viewer' for these cameras is a home IoT surface.,Yes,,No,Vendor keyword hit only; not a consumer home security camera.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2100,Multiple stack-based buffer overflows in WebGate eDVR Manager and Control Center allow remote attackers to execute arbitrary code via unspecified vectors to the (1) TCPDiscover or (2) TCPDiscover2 function in the WESPDiscovery.WESPDiscoveryCtrl.1 control.,cpe:2.3:a:webgate:control_center:-:*:*:*:*:*:*:*|cpe:2.3:a:webgate:edvr_manager:-:*:*:*:*:*:*:*,vendor_only,2021-07-22,8.8,3.1,CWE-787,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Yes,,Maybe,"This is for some windows software, which is related to some dvr stuff, so not sure how to handle it",Partner=Yes vs Suhani=Maybe
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-21950,An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,vendor_only,2021-12-08,10.0,3.1,CWE-119|CWE-1284,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-21951,An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function read_udp_push_config_file. A specially-crafted network packet can lead to code execution.,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,vendor_only,2021-12-08,10.0,3.1,CWE-119|CWE-1284,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-21954,A command execution vulnerability exists in the wifi_country_code_update functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h. A specially-crafted set of network packets can lead to arbitrary command execution.,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,vendor_only,2021-12-09,9.9,3.1,CWE-78,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-21955,An authentication bypass vulnerability exists in the get_aes_key_info_by_packetid() function of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h. Generic network sniffing can lead to password recovery. An attacker can sniff network traffic to trigger this vulnerability.,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,vendor_only,2021-12-09,7.5,3.1,CWE-334|CWE-287,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-21952,An authentication bypass vulnerability exists in the CMD_DEVICE_GET_RSA_KEY_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h. A specially-crafted set of network packets can lead to increased privileges.,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,vendor_only,2021-12-22,9.8,3.1,CWE-288|CWE-287,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-21953,An authentication bypass vulnerability exists in the process_msg() function of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h. A specially-crafted man-in-the-middle attack can lead to increased privileges.,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,vendor_only,2021-12-22,8.1,3.1,CWE-300,No,Low,"Home-brand vendor matched, but the description is not about a camera (likely a different product line of the same brand).",No,High,,Yes,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2023-32220,Milesight NCR/camera version 71.8.0.6-r5 allows authentication bypass through an unspecified method.,cpe:2.3:o:milesight:ncr\/camera_firmware:71.8.0.6-r5:*:*:*:*:*:*:*|cpe:2.3:h:milesight:ncr\/camera:-:*:*:*:*:*:*:*,vendor_only,2023-06-12,9.8,3.1,CWE-287|CWE-863,No,High,"Milesight NCR/camera is a professional/commercial network camera/recorder, not a consumer home device.",Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Yes/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2023-34551,"In certain EZVIZ products, two stack buffer overflows in netClientSetWlanCfg function of the EZVIZ SDK command server can allow an authenticated attacker present on the same local network as the camera to achieve remote code execution. This affects CS-C6N-B0-1G2WF Firmware versions before V5.3.0 build 230215 and CS-C6N-R101-1G2WF Firmware versions before V5.3.0 build 230215 and CS-CV310-A0-1B2WFR Firmware versions before V5.3.0 build 230221 and CS-CV310-A0-1C2WFR-C Firmware versions before V5.3.2 build 230221 and CS-C6N-A0-1C2WFR-MUL Firmware versions before V5.3.2 build 230218 and CS-CV310-A0-3C2WFRL-1080p Firmware versions before V5.2.7 build 230302 and CS-CV310-A0-1C2WFR Wifi IP66 2.8mm 1080p Firmware versions before V5.3.2 build 230214 and CS-CV248-A0-32WMFR Firmware versions before V5.2.3 build 230217 and EZVIZ LC1C Firmware versions before V5.3.4 build 230214. The impact is: execute arbitrary code (remote).",cpe:2.3:o:ezviz:cs-c6n-b0-1g2wf_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-c6n-b0-1g2wf:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-c6n-r101-1g2wf_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-c6n-r101-1g2wf:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-cv310-a0-1b2wfr_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-cv310-a0-1b2wfr:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-cv310-a0-1c2wfr-c_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-cv310-a0-1c2wfr-c:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-c6n-a0-1c2wfr-mul_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-c6n-a0-1c2wfr-mul:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-cv310-a0-3c2wfrl-1080p_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-cv310-a0-3c2wfrl-1080p:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-cv310-a0-1c2wfr_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-cv310-a0-1c2wfr:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:cs-cv248-a0-32wmfr_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:cs-cv248-a0-32wmfr:-:*:*:*:*:*:*:*|cpe:2.3:o:ezviz:lc1c_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ezviz:lc1c:-:*:*:*:*:*:*:*,vendor_only,2023-08-01,8.0,3.1,CWE-787,Yes,High,,Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,,No,Reference design/SDK/platform code — not a specific consumer home IoT product.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-34829,Incorrect access control in TP-Link Tapo before v3.1.315 allows attackers to access user credentials in plaintext.,cpe:2.3:a:tp-link:tapo:*:*:*:*:*:*:*:*,vendor_only,2023-12-28,6.5,3.1,CWE-319,Yes,Low,"TP-Link Tapo is the vendor's own control app for its device line, which includes Tapo cameras; a plaintext-credential exposure in that app compromises whatever Tapo devices a user has linked, including cameras. No single product is named, but per the app-device-link principle this should lean Yes rather than No for every device category the Tapo app manages.",No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2024-0778,"** UNSUPPORTED WHEN ASSIGNED ** A vulnerability, which was classified as critical, has been found in Uniview ISC 2500-S up to 20210930. Affected by this issue is the function setNatConfig of the file /Interface/DevManage/VM.php. The manipulation of the argument natAddress/natPort/natServerPort leads to os command injection. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-251696. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed immediately that the product is end-of-life. It should be retired and replaced.",cpe:2.3:o:uniview:isc_2500-s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:uniview:isc_2500-s:-:*:*:*:*:*:*:*,vendor_only,2024-01-22,9.8,3.1,CWE-78,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,No,High,,No,High,,No,,Yes,Vendor keyword hit only; not a consumer home security camera.,Partner=No vs Suhani=Yes
cameras,vendor_only,C:Yes/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2023-6323,"ThroughTek Kalay SDK does not verify the authenticity of received messages, allowing an attacker to impersonate an authoritative server.",cpe:2.3:o:wyze:cam_v3_firmware:4.36.11.5859:*:*:*:*:*:*:*|cpe:2.3:h:wyze:cam_v3:-:*:*:*:*:*:*:*|cpe:2.3:o:roku:indoor_camera_se_firmware:3.0.2.4679:*:*:*:*:*:*:*|cpe:2.3:h:roku:indoor_camera_se:-:*:*:*:*:*:*:*|cpe:2.3:o:owletcare:cam_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:owletcare:cam:-:*:*:*:*:*:*:*|cpe:2.3:o:owletcare:cam_2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:owletcare:cam_2:-:*:*:*:*:*:*:*|cpe:2.3:a:throughtek:kalay_platform:-:*:*:*:*:*:*:*,vendor_only,2024-05-15,6.5,3.1,CWE-345,Yes,High,,Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,,No,Reference design/SDK/platform code — not a specific consumer home IoT product.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Yes/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2023-6324,ThroughTek Kalay SDK uses a predictable PSK value in the DTLS session when encountering an unexpected PSK identity,cpe:2.3:o:wyze:cam_v3_firmware:4.36.11.5859:*:*:*:*:*:*:*|cpe:2.3:h:wyze:cam_v3:-:*:*:*:*:*:*:*|cpe:2.3:o:roku:indoor_camera_se_firmware:3.0.2.4679:*:*:*:*:*:*:*|cpe:2.3:h:roku:indoor_camera_se:-:*:*:*:*:*:*:*|cpe:2.3:o:owletcare:cam_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:owletcare:cam:-:*:*:*:*:*:*:*|cpe:2.3:o:owletcare:cam_2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:owletcare:cam_2:-:*:*:*:*:*:*:*|cpe:2.3:a:throughtek:kalay_platform:-:*:*:*:*:*:*:*,vendor_only,2024-05-15,8.8,3.1,CWE-457|CWE-908,Yes,High,,Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,,No,Reference design/SDK/platform code — not a specific consumer home IoT product.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2024-7439,** UNSUPPORTED WHEN ASSIGNED ** A vulnerability was found in Vivotek CC8160 VVTK-0100d and classified as critical. Affected by this issue is the function read of the component httpd. The manipulation of the argument Content-Length leads to stack-based buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-273524. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed that the affected release tree is end-of-life.,cpe:2.3:o:vivotek:cc8160_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:cc8160:-:*:*:*:*:*:*:*,vendor_only,2024-08-03,9.8,3.1,CWE-121|CWE-119,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2024-7440,** UNSUPPORTED WHEN ASSIGNED ** A vulnerability was found in Vivotek CC8160 VVTK-0100d. It has been classified as critical. This affects the function getenv of the file upload_file.cgi. The manipulation of the argument QUERY_STRING leads to command injection. It is possible to initiate the attack remotely. The identifier VDB-273525 was assigned to this vulnerability. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed that the affected release tree is end-of-life.,cpe:2.3:o:vivotek:cc8160_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:cc8160:-:*:*:*:*:*:*:*,vendor_only,2024-08-03,9.8,3.1,CWE-77,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2024-7441,** UNSUPPORTED WHEN ASSIGNED ** A vulnerability was found in Vivotek SD9364 VVTK-0103f. It has been declared as critical. This vulnerability affects the function read of the component httpd. The manipulation of the argument Content-Length leads to stack-based buffer overflow. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-273526 is the identifier assigned to this vulnerability. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed that the affected release tree is end-of-life.,cpe:2.3:o:vivotek:sd9364_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:sd9364:-:*:*:*:*:*:*:*,vendor_only,2024-08-03,9.8,3.1,CWE-121|CWE-119,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2024-7442,** UNSUPPORTED WHEN ASSIGNED ** A vulnerability was found in Vivotek SD9364 VVTK-0103f. It has been rated as critical. This issue affects the function getenv of the file upload_file.cgi. The manipulation of the argument QUERY_STRING leads to command injection. The attack may be initiated remotely. The associated identifier of this vulnerability is VDB-273527. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed that the affected release tree is end-of-life.,cpe:2.3:o:vivotek:sd9364_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:sd9364:-:*:*:*:*:*:*:*,vendor_only,2024-08-03,9.8,3.1,CWE-77,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-56898,"Broken access control vulnerability in Geovision GV-ASWeb with version v6.1.0.0 or less. This vulnerability allows low privilege users perform actions that they aren't authorized to, which can be leveraged to escalate privileges, create, modify or delete accounts.",,vendor_only,2025-02-03,8.8,3.1,CWE-284,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2024-56901,A Cross-Site Request Forgery (CSRF) vulnerability in Geovision GV-ASWeb application with the version 6.1.1.0 or less that allows attackers to arbitrarily create Administrator accounts via a crafted GET request method. This vulnerability is used in chain with CVE-2024-56903 for a successful CSRF attack.,,vendor_only,2025-02-03,8.8,3.1,CWE-352,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,Low,"Geovision is a well-known manufacturer of security cameras and NVRs. The GV-ASWeb application is associated with their surveillance systems. While the vulnerability is in a web application, it is highly plausible that this affects home security camera systems, although Geovision also serves enterprise markets.",Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-56902,"Information disclosure vulnerability in Geovision GV-ASManager web application with the version v6.1.0.0 or less, which discloses account information, including cleartext password.",,vendor_only,2025-02-03,7.5,3.1,CWE-200,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,No,"GeoVision makes commercial/professional surveillance systems, not consumer home cameras.",Partner=Yes vs Suhani=No
